trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,7,-34.201274725599546,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,23.97189307216491,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,1,-110.39312010763747,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 2}",1
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,4,-71.19101748590084,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 1}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",35,20,6.934181583914228,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",25,3,-46.94758800372892,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,13,-29.148883693404898,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,0,-82.53890133291718,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,0,-0.3969030773091826,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",30,0,-114.92564237564524,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,7,-67.31444963618782,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,12,8.157526826573203,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,3.38955138285689,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,0,-68.01423503637815,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,15,-35.4210380482496,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,12,15.512911623311094,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,4,-13.353090272383918,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,10,2.2025300447546603,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.418951549247639}",20,0,-40.75730865684503,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",30,0,-116.79684632745462,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,0,-7.296110141934427,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,1,-11.640441800584183,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,7,-0.24000760094127105,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,0,-4.289348712466437,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,4,-22.159607082926268,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,0,7.338262086107807,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,13,8.533308506725968,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,15,6.28883358574763,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",25,11,9.693535969092961,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,7,19.552814329348433,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",35,12,-51.208260676277405,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",30,10,-14.043410226175123,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,0,-7.5809458654857,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,0,-31.13250010497184,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",20,0,-29.326241473637246,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,0,-69.97512433990529,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,7,19.015598358714286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",30,19,6.171933454956411,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,8,-4.3160678528935374,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",25,0,-21.820349521883756,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
